id	north	south	east	west	high	low	name	scientific_name
1	39.2307	39.2217	-123.762	-123.774	100	0	Albion, California, USA	USA, California, Albion
2	34.22	34.15	-118.29	-118.37	294	148	Burbank, California, USA	USA, California, Burbank
3	39.6272	39.6226	-120.614	-120.62	NULL	NULL	Mitrula Marsh, Tahoe National Forest, Sierra Co., California, USA	USA, California, Sierra Co., Tahoe National Forest, Mitrula Marsh
4	38.5923	38.5584	-123.283	-123.343	100	0	Salt Point State Park, Sonoma Co., California, USA	USA, California, Sonoma Co., Salt Point State Park
5	38.7868	38.7597	-123.519	-123.557	100	0	Gualala, California, USA	USA, California, Gualala
6	42.876	42.4701	-80.8044	-81.8179	NULL	NULL	Elgin Co., Ontario, Canada	Canada, Ontario, Elgin Co.
7	41.2125	41.1939	-73.3215	-73.3295	NULL	NULL	Brett Woods, Fairfield Co., Connecticut, USA	USA, Connecticut, Fairfield Co., Brett Woods
8	38.2441	37.9255	-122.709	-123.026	NULL	NULL	Point Reyes National Seashore, Marin Co., California, USA	USA, California, Marin Co., Point Reyes National Seashore
9	38.4582	38.4496	-122.663	-122.671	NULL	NULL	Howarth Park, Santa Rosa, California, USA	USA, California, Santa Rosa, Howarth Park
11	38.2788	38.2055	-122.581	-122.677	NULL	NULL	Petaluma, California, USA	USA, California, Petaluma
12	25.0667	25.0576	-80.4722	-80.4801	5	0	Buttonwood, south Key Largo, Monroe Co., Florida, USA	USA, Florida, Monroe Co., south Key Largo, Buttonwood
13	25.0388	25.0297	-80.496	-80.5059	5	0	Dove Creek Hammock, south Key Largo, Monroe Co., Florida, USA	USA, Florida, Monroe Co., south Key Largo, Dove Creek Hammock
14	25.1811	25.1735	-80.3614	-80.3662	10	0	Port Bougainvillea, north Key Largo, Monroe Co., Florida, USA	USA, Florida, Monroe Co., north Key Largo, Port Bougainvillea
15	24.88	24.8772	-80.6759	-80.6782	5	0	Indian Key, Florida, USA	USA, Florida, Indian Key
16	24.7453	24.6368	-81.3282	-81.4013	10	0	Big Pine Key, Monroe Co., Florida, USA	USA, Florida, Monroe Co., Big Pine Key
17	24.7067	24.6739	-81.3117	-81.3432	5	0	No Name Key, Monroe Co., Florida, USA	USA, Florida, Monroe Co., No Name Key
18	48.6886	48.6445	-122.792	-122.863	NULL	NULL	Moran State Park, San Juan Co., Washington, USA	USA, Washington, San Juan Co., Moran State Park
19	47.9893	47.9868	-122.37	-122.374	NULL	NULL	Clinton, Washington, USA	USA, Washington, Clinton
20	35.6627	35.6462	-83.0384	-83.0598	1400	850	Cabin Cove, Haywood Co., North Carolina, USA	USA, North Carolina, Haywood Co., Cabin Cove
21	38.1464	38.039	-122.486	-122.624	NULL	NULL	Novato, California, USA	USA, California, Novato
22	35.9986	35.7755	-75.5338	-75.6773	20	0	Nags Head, North Carolina, USA	USA, North Carolina, Nags Head
23	37.3472	37.3437	-76.5363	-76.5458	20	0	Whitemarsh, Virginia, USA	USA, Virginia, Whitemarsh
24	34.1359	34.1277	-118.132	-118.141	270	240	Madison Heights, Pasadena, California, USA	USA, California, Pasadena, Madison Heights
25	37.3343	37.326	-122.174	-122.186	670	540	Los Trancos Preserve, Palo Alto, California, USA	USA, California, Palo Alto, Los Trancos Preserve
26	38.9363	38.8031	-119.921	-120.138	2290	1920	South Lake Tahoe, California, USA	USA, California, South Lake Tahoe
27	39.6395	39.5925	-120.526	-120.643	2140	1250	Bassetts, Sierra Co., California, USA	USA, California, Sierra Co., Bassetts
28	34.0285	34.0023	-118.419	-118.449	NULL	NULL	Mar Vista, Los Angeles, California, USA	USA, California, Los Angeles, Mar Vista
29	38.6428	38.4828	-120.251	-120.471	1920	1280	Pipi Valley, El Dorado Co., California, USA	USA, California, El Dorado Co., Pipi Valley
30	34.0173	34.0167	-118.287	-118.29	NULL	NULL	Natural History Museum, Los Angeles, California, USA	USA, California, Los Angeles, Natural History Museum
31	34.1259	34.0986	-118.271	-118.309	NULL	NULL	Los Feliz, Los Angeles, California, USA	USA, California, Los Angeles, Los Feliz
32	41.3873	41.2838	-123.99	-124.074	370	60	Redwood National Park, Orick, California, USA	USA, California, Orick, Redwood National Park
33	34.0068	33.9782	-118.448	-118.49	NULL	NULL	Venice, Los Angeles, California, USA	USA, California, Los Angeles, Venice
34	37.4694	37.4149	-122.141	-122.228	120	22	Menlo Park, California, USA	USA, California, Menlo Park
35	34.1556	34.1087	-118.272	-118.327	NULL	NULL	Griffith Park, Los Angeles, California, USA	USA, California, Los Angeles, Griffith Park
36	33.6588	33.6219	-117.374	-117.484	NULL	NULL	Ortega Highway, Cleveland National Forest, California, USA	USA, California, Cleveland National Forest, Ortega Highway
37	34.0134	34.0126	-118.402	-118.403	NULL	NULL	Culver City Veterans Memorial Hall, Culver City, California, USA	USA, California, Culver City, Culver City Veterans Memorial Hall
38	34.2133	34.2096	-118.802	-118.817	NULL	NULL	Chumash Interpretive Center, Thousand Oaks, California, USA	USA, California, Thousand Oaks, Chumash Interpretive Center
39	40.1783	40.1664	-124.056	-124.07	NULL	NULL	Wilder Ridge, Humboldt Co., California, USA	USA, California, Humboldt Co., Wilder Ridge
40	-36.9772	-36.982	174.922	174.917	NULL	NULL	Murphy's Bush, Murphy's Rd., Manukau City, Auckland, New Zealand	New Zealand, Auckland, Manukau City, Murphy's Rd., Murphy's Bush
41	37.4283	37.3587	-122.05	-122.124	40	15	Mountain View, California, USA	USA, California, Mountain View
42	43.2596	42.7463	-121.94	-122.363	2140	1440	Diamond and Crater Lake, Oregon, USA	USA, Oregon, Diamond and Crater Lake
43	48.0617	48.0516	-123.783	-123.803	185	175	Lake Crescent, Olympic National Park, Clallam Co., Washington, USA	USA, Washington, Clallam Co., Olympic National Park, Lake Crescent
44	38.0133	37.9806	-122.456	-122.506	NULL	NULL	China Camp State Park, Marin Co., California, USA	USA, California, Marin Co., China Camp State Park
45	60.5505	60.4447	-150.092	-150.895	NULL	NULL	near Sterling, Alaska, USA	USA, Alaska, near Sterling
46	61.2412	61.0257	-149.685	-150.051	NULL	NULL	Anchorage, Alaska, USA	USA, Alaska, Anchorage
47	-1.2331	-1.3193	36.8742	36.7403	NULL	NULL	Nairobi, Kenya	Kenya, Nairobi
48	37.467	37.4441	126.948	126.934	NULL	NULL	Gwanak-Gu, Seoul, South Korea	South Korea, Seoul, Gwanak-Gu
49	-34.3434	-47.309	178.594	166.333	3754	0	New Zealand	New Zealand
50	41.4715	40	-123.377	-124.417	2120	0	Humboldt Co., California, USA	USA, California, Humboldt Co.
51	40.819	40.7452	-124.117	-124.198	15	0	Eureka, Humboldt Co., California, USA	USA, California, Humboldt Co., Eureka
53	35.6509	35.5576	-82.4644	-82.632	650	650	Asheville, North Carolina, USA	USA, North Carolina, Asheville
54	38.6175	38.5621	-122.669	-122.716	NULL	NULL	Pepperwood Preserve, Santa Rosa, California, USA	USA, California, Santa Rosa, Pepperwood Preserve
55	38.5659	38.5555	-122.783	-122.798	NULL	NULL	Foothill Regional Park, Windsor, California, USA	USA, California, Windsor, Foothill Regional Park
56	38.3551	38.338	-122.641	-122.656	NULL	NULL	Crane Creek Regional Park, Rohnert Park, California, USA	USA, California, Rohnert Park, Crane Creek Regional Park
57	34.1587	34.1565	-118.283	-118.288	NULL	NULL	DreamWorks Campus, Glendale, California, USA	USA, California, Glendale, DreamWorks Campus
58	37.0243	36.9466	-121.987	-122.088	100	0	Santa Cruz, California, USA	USA, California, Santa Cruz
60	37.0274	37.0074	-122.079	-122.113	NULL	NULL	Gray Whale Ranch, Santa Cruz Co., California, USA	USA, California, Santa Cruz Co., Gray Whale Ranch
61	36.8467	35.7955	-120.276	-121.979	NULL	NULL	Monterey Co., California, USA	USA, California, Monterey Co.
62	37.0967	37.0291	-122.217	-122.281	NULL	NULL	Swanton Rd., Santa Cruz Co., California, USA	USA, California, Santa Cruz Co., Swanton Rd.
63	37.1046	37.0086	-122.1	-122.17	NULL	NULL	Bonny Doon, California, USA	USA, California, Bonny Doon
64	34.774	34.7667	126.719	126.704	NULL	NULL	Wolchulsan National Park, South Korea	South Korea, Wolchulsan National Park
65	37.5871	37.5761	126.997	126.988	NULL	NULL	Changdeokgung, Seoul, South Korea	South Korea, Seoul, Changdeokgung
66	-10.9973	-10.9993	-37.0558	-37.0579	NULL	NULL	Hotel Parque dos Coqueiros, Aracaju, Sergipe, Brazil	Brazil, Sergipe, Aracaju, Hotel Parque dos Coqueiros
67	-10.8701	-11.0028	-37.0315	-37.118	50	0	Aracaju, Sergipe, Brazil	Brazil, Sergipe, Aracaju
68	34.2043	34.195	-118.208	-118.217	NULL	NULL	Descanso Gardens, La Crescenta, California, USA	USA, California, La Crescenta, Descanso Gardens
